"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2021-07-29T00:00:00.000Z,"405","16",20,8,0
2021-07-30T00:00:00.000Z,"385","16",20,8,0
2021-07-31T00:00:00.000Z,"364","16",20,8,0
2021-08-01T00:00:00.000Z,"335","16",20,8,0
2021-08-02T00:00:00.000Z,"314","16",20,8,0
2021-08-03T00:00:00.000Z,"330","16",20,8,0
2021-08-04T00:00:00.000Z,"311","16",20,8,0
2021-08-05T00:00:00.000Z,"303","16",20,8,0
2021-08-06T00:00:00.000Z,"311","16",20,8,0
2021-08-07T00:00:00.000Z,"318","16",20,8,0
2021-08-08T00:00:00.000Z,"314","16",20,8,0
2021-08-09T00:00:00.000Z,"308","16",20,8,0
2021-08-10T00:00:00.000Z,"305","16",20,8,0
2021-08-11T00:00:00.000Z,"303","16",20,8,0
2021-08-12T00:00:00.000Z,"289","16",20,8,0
2021-08-13T00:00:00.000Z,"277","16",20,8,0
2021-08-14T00:00:00.000Z,"251","16",20,8,0
2021-08-15T00:00:00.000Z,"254","16",20,8,0
2021-08-16T00:00:00.000Z,"255","16",20,8,0
2021-08-17T00:00:00.000Z,"247","16",20,8,0
2021-08-18T00:00:00.000Z,"224","16",20,8,0
2021-08-19T00:00:00.000Z,"241","16",20,8,0
2021-08-20T00:00:00.000Z,"229","16",20,8,0
2021-08-21T00:00:00.000Z,"222","16",20,8,0
2021-08-22T00:00:00.000Z,"228","16",20,8,0
2021-08-23T00:00:00.000Z,"236","16",20,8,0
2021-08-24T00:00:00.000Z,"223","16",20,8,0
2021-08-25T00:00:00.000Z,"222","16",20,8,0
2021-08-26T00:00:00.000Z,"222","16",20,8,0
2021-08-27T00:00:00.000Z,"222","16",20,8,0
2021-08-28T00:00:00.000Z,"202","16",20,8,0
2021-08-29T00:00:00.000Z,"210","16",20,8,0
2021-08-30T00:00:00.000Z,"206","16",20,8,0
2021-08-31T00:00:00.000Z,"208","16",20,8,0
2021-09-01T00:00:00.000Z,"201","16",20,8,0
2021-09-02T00:00:00.000Z,"203","16",20,8,0
2021-09-03T00:00:00.000Z,"198","16",20,8,0
2021-09-04T00:00:00.000Z,"199","16",20,8,0
2021-09-05T00:00:00.000Z,"193","16",20,8,0
2021-09-06T00:00:00.000Z,"196","16",20,8,0
2021-09-07T00:00:00.000Z,"183","16",20,8,0
2021-09-08T00:00:00.000Z,"183","16",20,8,0
2021-09-09T00:00:00.000Z,"197","16",20,8,0
2021-09-10T00:00:00.000Z,"199","16",20,8,0
2021-09-11T00:00:00.000Z,"202","16",20,8,0
2021-09-12T00:00:00.000Z,"194","16",20,8,0
2021-09-13T00:00:00.000Z,"192","16",20,8,0
2021-09-14T00:00:00.000Z,"231","16",20,8,0
2021-09-15T00:00:00.000Z,"239","16",20,8,0
2021-09-16T00:00:00.000Z,"233","16",20,8,0
2021-09-17T00:00:00.000Z,"209","16",20,8,0
2021-09-18T00:00:00.000Z,"195","16",20,8,0
2021-09-19T00:00:00.000Z,"188","16",20,8,0
2021-09-20T00:00:00.000Z,"231","16",20,8,0
2021-09-21T00:00:00.000Z,"240","16",20,8,0
2021-09-22T00:00:00.000Z,"214","16",20,8,0
2021-09-23T00:00:00.000Z,"209","16",20,8,0
2021-09-24T00:00:00.000Z,"197","16",20,8,0
2021-09-25T00:00:00.000Z,"191","16",20,8,0
2021-09-26T00:00:00.000Z,"204","16",20,8,0
2021-09-27T00:00:00.000Z,"197","16",20,8,0
2021-09-28T00:00:00.000Z,"196","16",20,8,0
2021-09-29T00:00:00.000Z,"192","16",20,8,0
2021-09-30T00:00:00.000Z,"186","16",20,8,0
2021-10-01T00:00:00.000Z,"188","16",20,8,0
2021-10-02T00:00:00.000Z,"193","16",20,8,0
2021-10-03T00:00:00.000Z,"230","16",20,8,0
2021-10-04T00:00:00.000Z,"220","16",20,8,0
2021-10-05T00:00:00.000Z,"223","16",20,8,0
2021-10-06T00:00:00.000Z,"191","16",20,8,0
2021-10-07T00:00:00.000Z,"209","16",20,8,0
2021-10-08T00:00:00.000Z,"194","16",20,8,0
2021-10-09T00:00:00.000Z,"193","16",20,8,0
2021-10-10T00:00:00.000Z,"187","16",20,8,0
2021-10-11T00:00:00.000Z,"218","16",20,8,0
2021-10-12T00:00:00.000Z,"204","16",20,8,0
2021-10-13T00:00:00.000Z,"183","16",20,8,0
2021-10-14T00:00:00.000Z,"174","16",20,8,0
2021-10-15T00:00:00.000Z,"181","16",20,8,0
2021-10-16T00:00:00.000Z,"190","16",20,8,0
2021-10-17T00:00:00.000Z,"171","16",20,8,0
2021-10-18T00:00:00.000Z,"170","16",20,8,0
2021-10-19T00:00:00.000Z,"176","16",20,8,0
2021-10-20T00:00:00.000Z,"177","16",20,8,0
2021-10-21T00:00:00.000Z,"177","16",20,8,0
2021-10-22T00:00:00.000Z,"181","16",20,8,0
2021-10-23T00:00:00.000Z,"181","16",20,8,0
2021-10-24T00:00:00.000Z,"176","16",20,8,0
2021-10-25T00:00:00.000Z,"184","16",20,8,0
2021-10-26T00:00:00.000Z,"191","16",20,8,0
2021-10-27T00:00:00.000Z,"177","16",20,8,0
2021-10-28T00:00:00.000Z,"174","16",20,8,0
2021-10-29T00:00:00.000Z,"188","16",20,8,0
2021-10-30T00:00:00.000Z,"232","16",20,8,0
2021-10-31T00:00:00.000Z,"205","16",20,8,0
2021-11-01T00:00:00.000Z,"211","16",20,8,0
2021-11-02T00:00:00.000Z,"221","16",20,8,0
2021-11-03T00:00:00.000Z,"248","16",20,8,0
2021-11-04T00:00:00.000Z,"270","16",20,8,0
2021-11-05T00:00:00.000Z,"263","16",20,8,0
2021-11-06T00:00:00.000Z,"254","16",20,8,0
2021-11-07T00:00:00.000Z,"249","16",20,8,0
2021-11-08T00:00:00.000Z,"246","16",20,8,0
2021-11-09T00:00:00.000Z,"233","16",20,8,0
2021-11-10T00:00:00.000Z,"212","16",20,8,0
2021-11-11T00:00:00.000Z,"213","16",20,8,0
2021-11-12T00:00:00.000Z,"186","16",20,8,0
2021-11-13T00:00:00.000Z,"189","16",20,8,0
2021-11-14T00:00:00.000Z,"171","16",20,8,0
2021-11-15T00:00:00.000Z,"159","16",20,8,0
2021-11-16T00:00:00.000Z,"163","16",20,8,0
2021-11-17T00:00:00.000Z,"153","16",20,8,0
2021-11-18T00:00:00.000Z,"153","16",20,8,0
2021-11-19T00:00:00.000Z,"157","16",20,8,0
2021-11-20T00:00:00.000Z,"148","16",20,8,0
2021-11-21T00:00:00.000Z,"143","16",20,8,0
2021-11-22T00:00:00.000Z,"135","16",20,8,0
2021-11-23T00:00:00.000Z,"143","16",20,8,0
2021-11-24T00:00:00.000Z,"137","16",20,8,0
2021-11-25T00:00:00.000Z,"139","16",20,8,0
2021-11-26T00:00:00.000Z,"141","16",20,8,0
2021-11-27T00:00:00.000Z,"154","16",20,8,0
2021-11-28T00:00:00.000Z,"169","16",20,8,0
2021-11-29T00:00:00.000Z,"157","16",20,8,0
2021-11-30T00:00:00.000Z,"152","16",20,8,0
2021-12-01T00:00:00.000Z,"213","16",20,8,0
2021-12-02T00:00:00.000Z,"193","16",20,8,0
2021-12-03T00:00:00.000Z,"230","16",20,8,0
2021-12-04T00:00:00.000Z,"287","16",20,8,0
2021-12-05T00:00:00.000Z,"417","16",20,8,0
2021-12-06T00:00:00.000Z,"493","16",20,8,0
2021-12-07T00:00:00.000Z,"511","16",20,8,0
2021-12-08T00:00:00.000Z,"547","16",20,8,0
2021-12-09T00:00:00.000Z,"521","16",20,8,0
2021-12-10T00:00:00.000Z,"555","16",20,8,0
2021-12-11T00:00:00.000Z,"561","16",20,8,0
2021-12-12T00:00:00.000Z,"560","16",20,8,0
2021-12-13T00:00:00.000Z,"518","16",20,8,0
2021-12-14T00:00:00.000Z,"485","16",20,8,0
2021-12-15T00:00:00.000Z,"468","16",20,8,0
2021-12-16T00:00:00.000Z,"444","16",20,8,0
2021-12-17T00:00:00.000Z,"407","16",20,8,0
2021-12-18T00:00:00.000Z,"393","16",20,8,0
2021-12-19T00:00:00.000Z,"354","16",20,8,0
